STRUCTURE_NUMBER_008,BridgeCondition,SimpleOwner
000000000002373,F,County
000000000002374,F,County
000000000002375,F,County
000000000002381,F,County
000000000002382,F,County
000000000002383,F,County
000000000002384,F,County
000000000002385,F,County
000000000002386,F,County
000000000002387,G,County
000000000002388,F,County
000000000002389,F,County
000000000002390,F,County
000000000002391,F,County
000000000002392,F,Municipal
000000000002394,P,Municipal
000000000002395,P,Municipal
000000000002397,F,Municipal
000000000002398,F,Municipal
000000000002399,P,Municipal
000000000002402,F,Municipal
000000000002403,P,Municipal
000000000002405,F,Municipal
000000000002407,F,Municipal
000000000002408,G,Municipal
000000000002409,P,Municipal
000000000002410,P,Municipal
000000000002411,F,Municipal
000000000002412,F,Municipal
000000000002413,F,Municipal
000000000002414,P,Municipal
000000000002416,P,Municipal
000000000002417,F,Municipal
000000000002418,F,Municipal
000000000002419,P,Municipal
000000000002420,F,Municipal
000000000002421,F,Municipal
000000000002422,P,Municipal
000000000002423,F,Municipal
000000000002424,P,Municipal
000000000002425,F,Municipal
000000000002426,F,Municipal
000000000002427,F,Municipal
000000000002428,F,Municipal
000000000002429,F,Municipal
000000000002430,F,Municipal
000000000002431,F,Municipal
000000000002433,F,Municipal
000000000002435,F,Municipal
000000000002436,P,Municipal
000000000002437,P,Municipal
000000000002438,F,Municipal
000000000002439,F,Municipal
000000000002440,F,Municipal
000000000002441,F,Municipal
000000000002444,F,Municipal
000000000002448,F,Municipal
000000000002449,P,Municipal
000000000002450,F,Municipal
000000000002452,F,Municipal
000000000002453,P,Municipal
000000000002454,G,Municipal
000000000002455,F,Municipal
000000000002456,P,Municipal
000000000002457,P,Municipal
000000000002458,P,Municipal
000000000002459,P,Municipal
000000000002460,F,Municipal
000000000002461,P,Municipal
000000000002463,F,Municipal
000000000002464,F,Municipal
000000000002466,F,Municipal
000000000002467,F,Municipal
000000000002468,F,Municipal
000000000002469,F,Municipal
000000000002470,F,Municipal
000000000002471,P,Municipal
000000000002503,F,County
000000000002504,F,County
000000000002505,F,County
000000000002506,F,County
000000000002507,G,County
000000000002511,F,County
000000000002514,F,Municipal
000000000002515,F,Municipal
000000000002516,F,Municipal
000000000002517,F,Municipal
000000000002518,P,Municipal
000000000002519,P,Municipal
000000000002526,F,County
000000000002528,F,County
000000000002535,F,County
000000000002536,G,County
000000000002537,G,County
000000000002553,G,County
000000000002554,F,County
000000000002560,F,County
000000000002561,F,County
000000000002562,F,Municipal
000000000002564,F,County
000000000002565,F,County
000000000002566,F,County
000000000002567,F,County
000000000002569,F,Municipal
000000000002574,G,County
000000000002575,F,Municipal
000000000002576,F,County
000000000002579,F,County
000000000002580,G,County
000000000002581,F,Municipal
000000000002582,F,County
000000000002586,F,Municipal
000000000002587,G,Municipal
000000000002588,F,Municipal
000000000002590,F,Municipal
000000000002591,F,Municipal
000000000002592,F,Municipal
000000000002593,F,Municipal
000000000002594,F,County
000000000002595,F,County
000000000002596,P,Municipal
000000000002601,F,Municipal
000000000002602,F,County
000000000002603,F,County
000000000002609,F,County
000000000002611,F,County
000000000002612,F,County
000000000002615,F,Municipal
000000000002616,G,Municipal
000000000002617,F,Municipal
